Title,Number of review,Category,Review Comment,Popular food,Online Order,length,word_count,sentiment_score,subjectivity_score,sentiment_class,sentiment_intensity,length_quartile,performance_category
David Burke Tavern,5,Fast Food,No,No,Yes,2,1,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Pret A Manger,41,American,No,No,Yes,2,1,0.0,0.0,Neutral,0.0,Very Short,"Popular but Declining (Low Sentiment, High Volume)"
NY Halal Gyro,17,American,No,No,Yes,2,1,0.0,0.0,Neutral,0.0,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Alleva,2490,Deli,"“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",Ribeye,Yes,82,13,0.925,1.0,Positive,0.925,Long,"Stars (High Sentiment, High Volume)"
Nicoletta,48,"Seafood, Soups",“Delicious thin crust pizza”,Pizza,Yes,28,4,0.3,0.925,Positive,0.3,Short,"Popular but Declining (Low Sentiment, High Volume)"
Express Deli,102,"Italian, Pizza",“Southern classics”,Vegetarian,Yes,19,2,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Espresso Bar NYC,98,"American, Caribbean",“We had a party of four and ordered three entrees to share and one vegetarian...”,Sashimi,Yes,81,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Dunkin',425,American,"“... notch, including the O-toro sashimi.”",No,Yes,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Benjamin Steakhouse,9,"Asian, Korean",“Good experience for dinner”,No,Yes,28,4,0.7,0.6000000000000001,Positive,0.7,Short,"Hidden Gems (High Sentiment, Low Volume)"
Sichuan Hot Pot Cuisine,87,"Chinese, Seafood",“Great spot in Chinatown!”,Dumplings,Yes,26,4,1.0,0.75,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
El Burrito Burracho,207,"Chinese, Asian",“Super dumplings!”,Steak,Yes,18,2,0.41666666666666663,0.6666666666666666,Positive,0.41666666666666663,Short,"Stars (High Sentiment, High Volume)"
El Burrito Burracho,591,"American, Steakhouse","“Superb Steak, really delicious”",Pizza,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Express Pie Parlor,290,"Italian, Pizza",“Excellent Pizza”,No,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Eggwich,17,American,“Very Authentic & Delicious”,No,Yes,28,4,0.825,0.9875,Positive,0.825,Short,"Hidden Gems (High Sentiment, Low Volume)"
Eggwich,48,"Mediterranean, Turkish",“Delicious thin crust pizza”,No,Yes,28,4,0.3,0.925,Positive,0.3,Short,"Popular but Declining (Low Sentiment, High Volume)"
Dunkin',290,Cafe,“Excellent Pizza”,Tuna,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Dunkin',24,"Italian, Pizza",“The tuna toast !”,Lobster Bisque,Yes,18,4,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Dunkin',1137,Thai,“The lobster bisque was velvety and luscious.”,Crab Cakes,Yes,46,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Dunkin',309,"Steakhouse, Bar","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Steak,Yes,82,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
787 Coffee Co.,7,"Swiss, European",“My steak was delectable and cooked to perfection.”,Steak,Yes,51,8,0.0,0.0,Neutral,0.0,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Motorino East Village,591,"Seafood, Soups","“Superb Steak, really delicious”",No,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Motorino East Village,290,"Italian, Pizza",“Excellent Pizza”,Ribeye,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Finger Lickin Fried Chicken,100,"Wine Bar, Mediterranean",“Amazing!!!”,Tuna,Yes,12,1,1.0,0.9,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Dive 106,2490,French,"“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",Vegetarian,Yes,82,13,0.925,1.0,Positive,0.925,Long,"Stars (High Sentiment, High Volume)"
Dishes,114,"Seafood, Soups",“Highlights were the tuna tartare appetizer and the salmon entree.”,French Onion Soup,Yes,67,10,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Dirty South Wings & Beer,98,"American, Bar",“We had a party of four and ordered three entrees to share and one vegetarian...”,No,Yes,81,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
French Omelette Bar,67,"American, Steakhouse","“We had French Onion Soup, which was delicious.”",No,No,48,8,0.5,0.5,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Balzem,3,Indian,“Great quality for the price!”,No,No,30,5,1.0,0.75,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Don Giovanni Ristorante,263,"Italian, Pizza",“An Italian restaurant well worth a visit”,An Italian Restaurant,Yes,42,7,0.15,0.05,Positive,0.15,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Daydream Breakfast Burritos,67,"Mediterranean, Healthy","“We had French Onion Soup, which was delicious.”",French Onion Soup,Yes,48,8,0.5,0.5,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Roti Modern Mediterranean,591,American,"“Superb Steak, really delicious”",Steak,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
The Squeeze,2490,Chinese,"“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",Ribeye,Yes,82,13,0.925,1.0,Positive,0.925,Long,"Stars (High Sentiment, High Volume)"
Dawn Patrol,983,"French, American","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",Carbonara,Yes,82,13,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
First Choice Chinese Kitchen,9,"American, Steakhouse",“Good experience for dinner”,Tuna,Yes,28,4,0.7,0.6000000000000001,Positive,0.7,Short,"Hidden Gems (High Sentiment, Low Volume)"
Quality Bistro,114,"Seafood, Soups",“Highlights were the tuna tartare appetizer and the salmon entree.”,No,No,67,10,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Motorino East Village,290,"Italian, Pizza",“Excellent Pizza”,Tuna,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Cupid's Wings,24,"American, Barbecue",“The tuna toast !”,Dumplings,Yes,18,4,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Cumin' Go,44,"Asian, Chinese",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,Steak,Yes,82,11,-0.3,0.9,Negative,0.3,Long,"Popular but Declining (Low Sentiment, High Volume)"
Cue Bar,591,"American, Steakhouse","“Superb Steak, really delicious”",An Italian Restaurant,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Best Wingers,263,"Italian, Pizza",“An Italian restaurant well worth a visit”,Ribeye,Yes,42,7,0.15,0.05,Positive,0.15,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Crown Wine & Liquors Inc,87,"Chinese, Bar",“The bartender/server suggested the ribeye as well as the special mashed potat...”,Vegetarian,Yes,82,12,0.35714285714285715,0.5714285714285714,Positive,0.35714285714285715,Long,"Stars (High Sentiment, High Volume)"
Vestry,98,Greek,“We had a party of four and ordered three entrees to share and one vegetarian...”,No,Yes,81,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Agave - Columbus Ave,67,"Mexican, American","“We had French Onion Soup, which was delicious.”",French Onion Soup,Yes,48,8,0.5,0.5,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Just Salad,17,Healthy,“Very Authentic & Delicious”,Ribeye,Yes,28,4,0.825,0.9875,Positive,0.825,Short,"Hidden Gems (High Sentiment, Low Volume)"
Crab Du Jour,87,"French, American",“The bartender/server suggested the ribeye as well as the special mashed potat...”,No,Yes,82,12,0.35714285714285715,0.5714285714285714,Positive,0.35714285714285715,Long,"Stars (High Sentiment, High Volume)"
Grab & Go Deli,49,"American, Fast Food",“Perfect Picnic did a wonderful job...”,No,Yes,39,6,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Gramercy Caf3,35,"Mediterranean, Turkish",“LOVE THIS PLACE”,No,Yes,17,3,0.5,0.6,Positive,0.5,Very Short,"Stars (High Sentiment, High Volume)"
Quality Bistro,3,American,“Great quality for the price!”,No,Yes,30,5,1.0,0.75,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Dunkin',67,"French, American","“We had French Onion Soup, which was delicious.”",French Onion Soup,Yes,48,8,0.5,0.5,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Dunkin',55,"Pub, Gastropub",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,Sliders,Yes,70,13,-0.2,0.3,Negative,0.2,Long,"Popular but Declining (Low Sentiment, High Volume)"
Dunkin',425,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",Sashimi,Yes,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Dunkin',114,"American, Steakhouse",“Highlights were the tuna tartare appetizer and the salmon entree.”,Tuna,Yes,67,10,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Grilled Cheese Society,13,American,“Maryland’s Best in NYC”,No,Yes,24,4,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Quality Bistro,49,"Italian, Pizza",“Perfect Picnic did a wonderful job...”,No,Yes,39,6,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
City Dumpling,24,"French, Mediterranean",“The tuna toast !”,Tuna,Yes,18,4,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
City Dumpling,13,Chinese,“Maryland’s Best in NYC”,Gyoza,Yes,24,4,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Par Ici Cafe,87,Indian,“Great spot in Chinatown!”,No,Yes,26,4,1.0,0.75,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
City Pizza NY llc,41,"Italian, Pizza","“Good, not typical NY slice”",No,Yes,28,5,0.39166666666666666,0.55,Positive,0.39166666666666666,Short,"Stars (High Sentiment, High Volume)"
Inwood Pizza Llc,100,"Chinese, Seafood",“Amazing!!!”,No,Yes,12,1,1.0,0.9,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Vestry,20,"Pizza, Italian",“We also had pork and ginger gyoza.”,No,Yes,36,7,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Hells Kitchen Wines & Spirits,7,"Bar, Sushi",“Close to Maddison Square Garden.”,Garden,Yes,34,5,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Sabor Borinqueno Restaurant,263,"Bar, Pub",“An Italian restaurant well worth a visit”,An Italian Restaurant,Yes,42,7,0.15,0.05,Positive,0.15,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Chinese Yum! Yum!,14,American,“Absolutely amazing”,No,Yes,20,2,0.6000000000000001,0.9,Positive,0.6000000000000001,Short,"Hidden Gems (High Sentiment, Low Volume)"
Sashimi Bar Tsq,13,"Italian, Pizza",“Maryland’s Best in NYC”,No,No,24,4,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Chickwich,9,Sushi,“Good experience for dinner”,No,No,28,4,0.7,0.6000000000000001,Positive,0.7,Short,"Hidden Gems (High Sentiment, Low Volume)"
Goldie's Tavern,17,"American, Bar",“Very Authentic & Delicious”,No,No,28,4,0.825,0.9875,Positive,0.825,Short,"Hidden Gems (High Sentiment, Low Volume)"
Ledo Pizza,13,"Italian, Pizza",“Maryland’s Best in NYC”,Sashimi,Yes,24,4,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Cheesecake And Dessert Bar,3,"Chinese, Asian",“Great quality for the price!”,An Italian Restaurant,Yes,30,5,1.0,0.75,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Cheeky's Cheesesteaks,100,"Wine Bar, Mediterranean",“Amazing!!!”,Gyoza,Yes,12,1,1.0,0.9,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Cheeky's Cheesesteaks,425,"Japanese, Sushi","“... notch, including the O-toro sashimi.”",Sliders,Yes,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Cheeky's Cheesesteaks,263,"Italian, Pizza",“An Italian restaurant well worth a visit”,No,Yes,42,7,0.15,0.05,Positive,0.15,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Cheeky's Cheesesteaks,20,"Japanese, Asian",“We also had pork and ginger gyoza.”,No,Yes,36,7,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Tangy Noodle,55,"Japanese, Bar",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,No,70,13,-0.2,0.3,Negative,0.2,Long,"Popular but Declining (Low Sentiment, High Volume)"
Brickyard craft kitchen & beer,290,American,“Excellent Pizza”,An Italian Restaurant,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Casa De Cool Mexican Cantina,263,"Italian, Pizza",“An Italian restaurant well worth a visit”,Lobster Bisque,Yes,42,7,0.15,0.05,Positive,0.15,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Casa De Cool Mexican Cantina,17,"Japanese, Sushi",“Very Authentic & Delicious”,No,Yes,28,4,0.825,0.9875,Positive,0.825,Short,"Hidden Gems (High Sentiment, Low Volume)"
Casa De Cool Mexican Cantina,5,"Italian, Pizza",““Best Kept Secret in Dumbo””,No,Yes,29,5,0.3,0.5,Positive,0.3,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Casa Blanca,1137,Fusion,“The lobster bisque was velvety and luscious.”,No,Yes,46,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Motorino East Village,9,"Mediterranean, Turkish",“Good experience for dinner”,No,Yes,28,4,0.7,0.6000000000000001,Positive,0.7,Short,"Hidden Gems (High Sentiment, Low Volume)"
Clinton Hall 36th Street,290,"American, Bar",“Excellent Pizza”,Garden,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Super Franc New York,7,"Italian, Tuscan",“Close to Maddison Square Garden.”,Crab Cakes,Yes,34,5,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Jiang Nan NYC,309,"Chinese, Asian","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Lobster Bisque,Yes,82,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Butcher Block,1137,"Italian, Pizza",“The lobster bisque was velvety and luscious.”,Salad,Yes,46,7,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Burritos and Quesadillas,3,"Bar, Pub",“Worth the price”,No,Yes,17,3,0.3,0.1,Positive,0.3,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Motorino East Village,400,Japanese,“Food was quite good and the cheese and meats were an ideal meal with salad.”,No,No,77,15,0.8,0.8,Positive,0.8,Long,"Stars (High Sentiment, High Volume)"
Sushi on Jones,3,"Chinese, Asian",“Great quality for the price!”,French Onion Soup,Yes,30,5,1.0,0.75,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Pelicana Chicken,67,"French, American","“We had French Onion Soup, which was delicious.”",Tuna,Yes,48,8,0.5,0.5,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
Wich Way Chicken Sandwiches,13,"Italian, Pizza",“Maryland’s Best in NYC”,Pizza,Yes,24,4,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
new york sals pizza,24,"Chinese, Japanese",“The tuna toast !”,No,Yes,18,4,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Sourdough Squares Pizza,48,"Seafood, Hawaiian",“Delicious thin crust pizza”,No,Yes,28,4,0.3,0.925,Positive,0.3,Short,"Popular but Declining (Low Sentiment, High Volume)"
Tangy Noodle,3,"Italian, Pizza",“Worth the price”,No,Yes,17,3,0.3,0.1,Positive,0.3,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Sloppy Joe Nation,20,"Japanese, Asian",“We also had pork and ginger gyoza.”,Gyoza,Yes,36,7,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Caroline's Cake Shop,24,"Chinese, Steakhouse",“The tuna toast !”,Tuna,Yes,18,4,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Cappone's Downtown Llc,3,"Italian, American",“Worth the price”,Garden,Yes,17,3,0.3,0.1,Positive,0.3,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Cappone's Downtown Llc,49,"Asian, Korean",“Perfect Picnic did a wonderful job...”,Steak,Yes,39,6,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
sLICe,7,Japanese,“Close to Maddison Square Garden.”,No,Yes,34,5,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
IZAKAYA E.A.K. Hell's Kitchen,591,French,"“Superb Steak, really delicious”",No,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Manhattan Gulluoglu Baklava Cafe,627,Turkish,“Great food but very chaotic atmosphere”,Bagels,Yes,40,6,0.5,0.525,Positive,0.5,Medium,"Stars (High Sentiment, High Volume)"
Mi Tierra,3,Grill,“One of the best bagels in the city!”,Dumplings,Yes,37,8,1.0,0.3,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
City Island in the City,44,"Indian, Chinese",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,Steak,Yes,82,11,-0.3,0.9,Negative,0.3,Long,"Popular but Declining (Low Sentiment, High Volume)"
Buffalo2go,7,"American, Cafe",“My steak was delectable and cooked to perfection.”,French Toast,Yes,51,8,0.0,0.0,Neutral,0.0,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Seamorhen,19,"Asian, Chinese",“We had some delicious French toast with...”,Sashimi,Yes,44,7,0.5,0.5,Positive,0.5,Long,"Hidden Gems (High Sentiment, Low Volume)"
Utsav Restaurant,425,"Steakhouse, American","“... notch, including the O-toro sashimi.”",No,Yes,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Sam's Smoked Salmon,2490,"Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",Ribeye,Yes,82,13,0.925,1.0,Positive,0.925,Long,"Stars (High Sentiment, High Volume)"
Salvatore's Parmigiana Sandwiches,98,Indian,“We had a party of four and ordered three entrees to share and one vegetarian...”,Vegetarian,Yes,81,15,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Saladworks,983,"Italian, Romana","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",Carbonara,Yes,82,13,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Salads Here,309,"Chinese, Bar","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Crab Cakes,Yes,82,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Salads Here,5,"Seafood, Soups",““Best Kept Secret in Dumbo””,No,Yes,29,5,0.3,0.5,Positive,0.3,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Sabores Mexico,55,"Pub, Gastropub",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,Sliders,Yes,70,13,-0.2,0.3,Negative,0.2,Long,"Popular but Declining (Low Sentiment, High Volume)"
Sabor de Ecuador,114,Cafe,“Highlights were the tuna tartare appetizer and the salmon entree.”,Tuna,Yes,67,10,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Saanvi Food Mart - Beer,207,Mexican,“Super dumplings!”,Dumplings,Yes,18,2,0.41666666666666663,0.6666666666666666,Positive,0.41666666666666663,Short,"Stars (High Sentiment, High Volume)"
Baskin-Robbins,102,"American, Steakhouse",“Southern classics”,Salad,Yes,19,2,0.0,0.0,Neutral,0.0,Short,"Popular but Declining (Low Sentiment, High Volume)"
Rusty flavor Inc,87,American,“Great spot in Chinatown!”,No,Yes,26,4,1.0,0.75,Positive,1.0,Short,"Stars (High Sentiment, High Volume)"
The Elgin,400,"Chinese, Asian",“Food was quite good and the cheese and meats were an ideal meal with salad.”,No,Yes,77,15,0.8,0.8,Positive,0.8,Long,"Stars (High Sentiment, High Volume)"
Rolls Goals (BYO Sushi),7,"Steakhouse, American",“My steak was delectable and cooked to perfection.”,Steak,Yes,51,8,0.0,0.0,Neutral,0.0,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Wrap-N-Run,7,"Bar, Pub",“Close to Maddison Square Garden.”,Garden,Yes,34,5,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Papa Thai Harlem,87,"Asian, Burmese",“The bartender/server suggested the ribeye as well as the special mashed potat...”,Ribeye,Yes,82,12,0.35714285714285715,0.5714285714285714,Positive,0.35714285714285715,Long,"Stars (High Sentiment, High Volume)"
Azuki,21,"Bar, American","“The fries were terrific also, hot crisp...”",Fries,Yes,44,7,0.16666666666666666,0.7555555555555555,Positive,0.16666666666666666,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Rockaway Roasters,24,American,“The tuna toast !”,Tuna,Yes,18,4,0.0,0.0,Neutral,0.0,Short,"Needs Improvement (Low Sentiment, Low Volume)"
Tabernacle Steakhouse,290,"Bar, Pub",“Excellent Pizza”,No,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Punjabi Junction Of 87th,3,"Mexican, Mediterranean",“Worth the price”,Dumplings,Yes,17,3,0.3,0.1,Positive,0.3,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
Platho Deli Grocery,44,"Chinese, Steakhouse",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,Sashimi,Yes,82,11,-0.3,0.9,Negative,0.3,Long,"Popular but Declining (Low Sentiment, High Volume)"
Mexiterranean Grill,425,"Asian, Chinese","“... notch, including the O-toro sashimi.”",Bagels,Yes,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Chi Chi’s Chicken Bites,3,"Japanese, Sushi",“One of the best bagels in the city!”,Carbonara,Yes,37,8,1.0,0.3,Positive,1.0,Medium,"Hidden Gems (High Sentiment, Low Volume)"
Lao Shen Hot Pot,983,"American, Cafe","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",Gyoza,Yes,82,13,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Brooklyn Chop House - Times Square,20,"Italian, Romana",“We also had pork and ginger gyoza.”,No,Yes,36,7,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
Ramen Jin,591,"Caribbean, Jamaican","“Superb Steak, really delicious”",Steak,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Subway,309,"American, Steakhouse","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",Crab Cakes,Yes,82,13,0.0,0.0,Neutral,0.0,Long,"Popular but Declining (Low Sentiment, High Volume)"
Fyahbun Creative,49,Healthy,“Perfect Picnic did a wonderful job...”,Gyoza,Yes,39,6,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
RA Sushi,20,"Seafood, Soups",“We also had pork and ginger gyoza.”,Ribeye,Yes,36,7,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
R&C fit grill,87,"Italian, American",“The bartender/server suggested the ribeye as well as the special mashed potat...”,Steak,Yes,82,12,0.35714285714285715,0.5714285714285714,Positive,0.35714285714285715,Long,"Stars (High Sentiment, High Volume)"
Royal 35 Steakhouse,7,"Japanese, Asian",“My steak was delectable and cooked to perfection.”,No,Yes,51,8,0.0,0.0,Neutral,0.0,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Power Up! Breakfast Bowls,13,"Italian, Pizza",“Maryland’s Best in NYC”,Steak,Yes,24,4,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
butterfly chicken llc,591,Caribbean,"“Superb Steak, really delicious”",Steak,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
Power lunch,7,"American, Steakhouse",“My steak was delectable and cooked to perfection.”,Sashimi,Yes,51,8,0.0,0.0,Neutral,0.0,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Power lunch,290,"Steakhouse, American",“Excellent Pizza”,French Toast,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Power lunch,425,"Italian, Pizza","“... notch, including the O-toro sashimi.”",No,Yes,42,6,0.0,0.0,Neutral,0.0,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Ledo Pizza,19,"Italian, Mexican",“We had some delicious French toast with...”,No,No,44,7,0.5,0.5,Positive,0.5,Long,"Hidden Gems (High Sentiment, Low Volume)"
Dine Privé,591,"American, Steakhouse","“Superb Steak, really delicious”",Steak,Yes,32,4,1.0,1.0,Positive,1.0,Medium,"Stars (High Sentiment, High Volume)"
PIE HARD,14,"American, Bar",“Absolutely amazing”,Pizza,Yes,20,2,0.6000000000000001,0.9,Positive,0.6000000000000001,Short,"Hidden Gems (High Sentiment, Low Volume)"
Pick A Bagel,48,"American, Bar",“Delicious thin crust pizza”,Sliders,Yes,28,4,0.3,0.925,Positive,0.3,Short,"Popular but Declining (Low Sentiment, High Volume)"
DIG,3,"Italian, Pizza",“Worth the price”,No,Yes,17,3,0.3,0.1,Positive,0.3,Very Short,"Needs Improvement (Low Sentiment, Low Volume)"
District Local,55,French,“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,Yes,70,13,-0.2,0.3,Negative,0.2,Long,"Popular but Declining (Low Sentiment, High Volume)"
Royal 35 Steakhouse,290,"Chinese, Steakhouse",“Excellent Pizza”,No,Yes,17,2,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Ledo Pizza,13,"Italian, Pizza",“Maryland’s Best in NYC”,Dumplings,Yes,24,4,1.0,0.3,Positive,1.0,Short,"Hidden Gems (High Sentiment, Low Volume)"
Taqueria Trio 2,44,"Caribbean, Latin",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,Gyoza,Yes,82,11,-0.3,0.9,Negative,0.3,Long,"Popular but Declining (Low Sentiment, High Volume)"
Pelicana Chicken,627,American,“Great food but very chaotic atmosphere”,Steak,Yes,40,6,0.5,0.525,Positive,0.5,Medium,"Stars (High Sentiment, High Volume)"
Peking Chinese Restaurant,20,"Asian, Chinese",“We also had pork and ginger gyoza.”,No,Yes,36,7,0.0,0.0,Neutral,0.0,Medium,"Needs Improvement (Low Sentiment, Low Volume)"
